Date,Open,High,Low,Close,Volume
1996-01-01,4.579047618214953,4.603617764590452,4.548892873059091,4.595799922943115,104121369
1996-01-02,4.584632019821143,4.606968625499883,4.52655606941768,4.560060977935791,168743308
1996-01-03,4.634888998840789,4.845972208904804,4.584631787768701,4.5946831703186035,209323879
1996-01-04,4.55112565780484,4.565644418930275,4.490816177517172,4.552242279052734,216900264
1996-01-05,4.534372960972739,4.534372960972739,4.481881620473414,4.520970821380615,166708467
1996-01-08,4.512037566359698,4.515387729250302,4.2953700325070345,4.340043544769287,186974245
1996-01-09,4.211607074539462,4.288668573123235,4.07088502651127,4.214957237243652,388766555
1996-01-10,4.13231083425994,4.231709229545145,4.087637327785983,4.10662317276001,276606655
1996-01-11,4.065300356299673,4.255163575974412,4.059716056214367,4.235060214996338,409645726
1996-01-12,4.26633067255525,4.2987192481777186,4.162464622313023,4.190385818481445,374687924
1996-01-15,4.178100007082398,4.199319983414509,4.123375134687591,4.146828651428223,199981539
1996-01-16,4.132309975716651,4.176983472909084,4.118907837062168,4.154646873474121,217247573
1996-01-17,4.1323112159288735,4.13789551662486,3.9547337950096093,3.9893553256988525,299629901
1996-01-18,3.8877223968807466,3.9513817381112477,3.837464299970562,3.878787040710449,377502810
1996-01-19,3.825179661678476,3.8732039268463674,3.784973536025527,3.8106606006622314,324535340
1996-01-22,3.8229470911538908,3.925696270753435,3.8195960329073695,3.8754384517669678,338613971
1996-01-23,3.88884012971931,3.9055927340373273,3.5068806916040023,3.7112627029418945,354919302
1996-01-24,3.6788735530185694,3.7012104566109434,3.5292170447561286,3.58394193649292,351185727
1996-01-25,3.5761244278469326,3.591760112656393,3.411949140702376,3.43316912651062,360855771
1996-01-26,3.43316912651062,3.43316912651062,3.43316912651062,3.43316912651062,0
1996-01-29,3.417532587841036,3.7358326493309897,3.39631320027506,3.703443765640259,652902286
1996-01-30,3.8195959136981688,4.221659049686843,3.763754391549307,4.036263465881348,1061936020
1996-01-31,3.9982899465059694,4.149063363828442,3.8475162308609323,3.9480321407318115,731560842
1996-02-01,3.908942406922447,4.13231083425994,3.8977744032071695,4.10662317276001,640422958
1996-02-02,4.216073055833915,4.601383458603719,4.216073055833915,4.552242279052734,818725675
1996-02-05,4.80241512308046,5.030250627915096,4.658342925945451,4.930851936340332,1222482548
1996-02-06,5.049237036321116,5.13746772383544,4.413754492219263,4.51762056350708,1242315590
1996-02-07,4.267448429389316,4.646057671009938,4.22277492128221,4.601384162902832,895441820
1996-02-08,4.6482908868489,5.084976046265709,4.601383840864497,5.003446578979492,821653997
1996-02-09,5.182141405484235,5.405509250617168,5.00568061093631,5.293825626373291,994440377
1996-02-12,5.1598039620119565,5.249150966226134,4.891761756079262,4.962122917175293,971599188
1996-02-13,4.9140992365336995,5.453533575900111,4.871659568598235,5.26032018661499,1019034918
1996-02-14,5.394341104799457,5.4714026006486645,5.2234649135938485,5.263670444488525,622459505
1996-02-15,5.137467833608779,5.3049938548533895,5.092794029061838,5.17990779876709,699136437
1996-02-16,5.092793655775234,5.14305145846487,5.049236774115198,5.0883259773254395,495646793
